salesforce_id,email,name,seller_id,marketplace_id,col1,col2,col3,wasin,fraction,active
0015000000OGhOFAA1,exclusive.11x17@gmail.com,11x17Inc,A1KZIRB594ZR63,ATVPDKIKX0DER,11x17 Inc.,11x17 Inc.,United States,B2B,0,1
0011T00002dIqh2QAC,exclusive.airmaxinc@gmail.com,AirmaxInc,A1EDR7O0GKJKM5,ATVPDKIKX0DER,"Airmax, Inc.","Airmax, Inc.",United States,B2B,0,1
0011T00002VRWl5QAH,exclusive.amritaaromatherapy@gmail.com,AmritaAromatherapy,A3UMJHS6SHQ8BX,ATVPDKIKX0DER,Amrita Aromatherapy,Amrita Aromatherapy,United States,B2B,0,1
0011T00002hDvsbQAC,exclusive.bagnet@gmail.com,Bagnet,A2PD8VLB9EVV1X,ATVPDKIKX0DER,Bagnet Co,Bagnet Co,United States,B2B,0,1
0011T00002XbfqVQAR,exclusive.bbqguru@gmail.com,TheBBQGuru,A3GUC0XZVX2EPA,ATVPDKIKX0DER,BBQ Guru,BBQ Guru,United States,B2B,0,1
0015000000Yctd7AAB,exclusive.canopiesandtarps@gmail.com,CanopiesandTarps,A7I2YL3BUWCTJ,ATVPDKIKX0DER,CanopiesAndTarp,CanopiesAndTarp,United States,B2B,0,1
0011T00002Qdb4RQAR,exclusive.carttek@gmail.com,CartTekGolfCarts,A1I3EK956DK1JY,ATVPDKIKX0DER,Cart Tek Golf Carts,Cart Tek Golf Carts,United States,B2B,0,1
0015000001rCn3RAAS,exclusive.chelseaclock@gmail.com,ChelseaClockCompany,A3J5WGRK7IHDPA,ATVPDKIKX0DER,Chelsea Clock,Chelsea Clock,United States,B2B,0,1
0015000001Q16e2AAB,exclusive.collectionsetc@gmail.com,CollectionsEtc,A3I373N02JZ7KY,ATVPDKIKX0DER,Collections Etc,Collections Etc,United States,B2B,0,1
0011T00002YljrmQAB,exclusive.cookinggiftsetco@gmail.com,CookingGiftSet,A24R7GZ7VTNDUR,ATVPDKIKX0DER,Cooking Gift Set Co.,Cooking Gift Set Co.,United States,B2B,0,1
0011T00002QxTDJQA3,exclusive.creativeteachingpress@gmail.com,CreativeTeachingPress,A2IJXE68ZVDQS5,ATVPDKIKX0DER,Creative Teaching,Creative Teaching,United States,B2B,0,1
0011T00002K8jgfQAB,exclusive.dellamore@gmail.com,DellamoreSauce,A6ZNRAS6GWDFY,ATVPDKIKX0DER,Dell'Amore,Dell'Amore,United States,B2B,0,1
0015000000fJJUCAA4,exclusive.dkhardware@gmail.com,DKHardwareSupply,A2VNERJJQ7ERIT,ATVPDKIKX0DER,DK Hardware Supply,DK Hardware Supply,United States,B2B,1,1
00150000019ZrMaAAK,exclusive.eastwood@gmail.com,TheEastwoodCompany,AS9TMMX2PSD5N,ATVPDKIKX0DER,The Eastwood Company,The Eastwood Company,United States,B2B,0,1
0011T00002KzlJbQAJ,exclusive.everythinglegwear@gmail.com,EverythingLegwear,A18LNK3PPKQVXU,ATVPDKIKX0DER,Everything Legwear LLC,Everything Legwear LLC,United States,B2B,0,1
0015000000XlQMgAAN,exclusive.exposuresonline@gmail.com,MilesKimballCo,A3DDXVL7CRJQ43,ATVPDKIKX0DER,Miles Kimball Company,Miles Kimball Company,United States,B2B,0,1
0011T00002OLN8MQAX,exclusive.flameboss@gmail.com,FlameBoss,A36S5Q73Q4RG33,ATVPDKIKX0DER,Flame Boss Europe,Flame Boss Europe,United States,B2B,0,1
0011T00002f1rHcQAI,exclusive.giftcraft@gmail.com,GiftCraft,AM4ZP15ND71VY,ATVPDKIKX0DER,Plus2Gifts,Plus2Gifts,United States,B2B,0,1
0011T00002f1rHcQAI,exclusive.giftcraft@gmail.com,GiftCraftCA,AM4ZP15ND71VY,A2EUQ1WTGCTBG2,Plus2Gifts,Plus2Gifts,Canada,B2B,0,1
0015000000IYj9GAAT,exclusive.greekgear@gmail.com,GreekGear,A1TK411GES6DH8,ATVPDKIKX0DER,Greekgear,Greekgear,United States,B2B,0,1
0011T00002QdoFJQAZ,EXCLUSIVE.Headcasedesigns@gmail.com,HeadCaseDesigns,A22QQRQRS0T6NJ,ATVPDKIKX0DER,eCell,eCell,United States,B2B,1,1
0011T00002QdoFJQAZ,exclusive.headcasedesignsuk@gmail.com,HeadCaseDesignsDE,A3NYXP6DUI6S3E,A1PA6795UKMFR9,eCell,eCell,Germany,B2B,1,1
0011T00002QdoFJQAZ,exclusive.headcasedesignsuk@gmail.com,HeadCaseDesignsFR,A3NYXP6DUI6S3E,A13V1IB3VIYZZH,eCell,eCell,France,B2B,1,1
0011T00002QdoFJQAZ,exclusive.headcasedesignsuk@gmail.com,HeadCaseDesignsIT,A3NYXP6DUI6S3E,APJ6JRA9NG5V4,eCell,eCell,Italy,B2B,1,1
0011T00002QdoFJQAZ,exclusive.headcasedesignsuk@gmail.com,HeadCaseDesignsUK,A3NYXP6DUI6S3E,A1F83G8C2ARO7P,eCell,eCell,United Kingdom,B2B,1,1
0015000001W8TTKAA3,exclusive.homecontrols@gmail.com,HomeControls,A33RI86K4PO1EO,ATVPDKIKX0DER,"Home Controls, Inc.","Home Controls, Inc.",United States,B2B,0,1
0011T00002aCI6UQAW,exclusive.indianametalcraft@gmail.com,IndianaMetalCraft,A3N2A9S0675O9K,ATVPDKIKX0DER,IMC Retail,IMC Retail,United States,B2B,0,1
0011T00002ezNYhQAM,exclusive.izzosmile@gmail.com,PremierDental,A36M2KLNS6I21U,ATVPDKIKX0DER,izzo smile,izzo smile,United States,B2B,0,1
0011T00002aCEx7QAG,exclusive.jakemanscoughdrops@gmail.com,JakemansCoughDrops,A19164Q08DQ775,ATVPDKIKX0DER,BT Remedies,BT Remedies,United States,B2B,0,1
0011T00002dIqkQQAS,exclusive.jenlis@gmail.com,Jenlis,A2I0UTEKZ4U2KZ,ATVPDKIKX0DER,Jenlis Inc.,Jenlis Inc.,United States,B2B,0,1
0011T00002VVHWnQAP,exclusive.juniperbooks@gmail.com,JuniperBooks,A3F0Z3BXDQJ51N,ATVPDKIKX0DER,Juniper Books,Juniper Books,United States,B2B,0,1
0011T00002OOhGJQA1,exclusive.ledonneleather@gmail.com,LeDonneLeatherCo,AALDYTGHEXEY6,ATVPDKIKX0DER,LeDonne Leather Company,LeDonne Leather Company,United States,NOB2B,0,1
0011T00002XbelRQAR,exclusive.lifetimecreations@gmail.com,LifetimeCreations,A3VWEB86KKF0ZW,ATVPDKIKX0DER,Lifetime Creations,Lifetime Creations,United States,B2B,0,1
0011T00002TsLuXQAV,exclusive.maccabiart@gmail.com,MaccabiArt,A3SQH3JJ1JGZUA,ATVPDKIKX0DER,Maccabi Art,Maccabi Art,United States,B2B,0,1
0011T00002TsLuXQAV,exclusive.maccabiart@gmail.com,MaccabiArtCA,A3SQH3JJ1JGZUA,A2EUQ1WTGCTBG2,Maccabi Art,Maccabi Art,Canada,B2B,0,1
0011T00002TsLuXQAV,exclusive.maccabiart@gmail.com,MaccabiArtMX,A3SQH3JJ1JGZUA,A1AM78C64UM0Y8,Maccabi Art,Maccabi Art,Mexico,NOB2B,0,1
0015000000iKUacAAG,exclusive.nobleworks@gmail.com,NobleWorks,A2ZEACN6HZG406,ATVPDKIKX0DER,NobleWorks,NobleWorks,United States,B2B,0,1
0015000001IX0ttAAD,exclusive.oneworldmemorials@gmail.com,OneWorldMemorials,A27DZ6AEG3S5P8,ATVPDKIKX0DER,"OneWorld Memorials - Urns, Pet Urns and Keepsakes","OneWorld Memorials - Urns, Pet Urns and Keepsakes",United States,B2B,0,1
0011T00002dIqi5QAC,exclusive.organicplumber@gmail.com,OrganicPlumber,A1HFUF2VYO1U1X,ATVPDKIKX0DER,Organic Plumber,Organic Plumber,United States,B2B,0,1
0011T00002Xd2KAQAZ,exclusive.palmbeachmotoring@gmail.com,PalmBeachMotoringGroup,A2B3WACBWPDWRJ,ATVPDKIKX0DER,Palm Beach Motoring Accessories,Palm Beach Motoring Accessories,United States,B2B,0,1
0011T00002RVgiJQAT,Exclusive.patchmd@gmail.com,PatchMD,AAY3MGLYONKAO,ATVPDKIKX0DER,PatchMD,PatchMD,United States,B2B,0,1
0011T00002dIqiyQAC,exclusive.pdcdistinc@gmail.com,PDCDistInc,A34FPZHMIY123F,ATVPDKIKX0DER,"PDC Dist, Inc.","PDC Dist, Inc.",United States,B2B,0,1
0015000000OUY0yAAH,exclusive.pillowsdotcom@gmail.com,Pillowsdotcom,A32XE2KS7IX77D,ATVPDKIKX0DER,DealCat,DealCat,United States,B2B,0,1
0011T00002XbeRhQAJ,exclusive.pinutrition@gmail.com,PERFORMANCEINSPIREDNUTRITION,A31KINQQQ3BOWK,ATVPDKIKX0DER,PERFORMANCE INSPIRED NUTRITION,PERFORMANCE INSPIRED NUTRITION,United States,B2B,0,1
0011T00002dISafQAG,exclusive.primetoys@gmail.com,PrimeTimeToys,A1IJ79RUKV3R8E,ATVPDKIKX0DER,Prime Time Toys LLC,Prime Time Toys LLC,United States,B2B,0,1
0011T00002Ylk68QAB,exclusive.promenaidhandrails@gmail.com,PromenaidHandrails,A1PGJPCVABD21K,ATVPDKIKX0DER,Promenaid Handrails,Promenaid Handrails,United States,B2B,0,1
0011T00002X7lffQAB,exclusive.revair@gmail.com,RevAir,A21L0K77XVNZPA,ATVPDKIKX0DER,RevAir,RevAir,United States,B2B,0,1
0011T00002VUz41QAD,exclusive.rhadhesives@gmail.com,RHAdhesives,A37CIXLAGNEAFA,ATVPDKIKX0DER,Phoenix Adhesives,Phoenix Adhesives,United States,B2B,0,1
0011T00002X7lKJQAZ,exclusive.rizebeds@gmail.com,MantuaMfg,AOZD6J9MH0865,ATVPDKIKX0DER,Harper & Park,Harper & Park,United States,B2B,0,1
0011T00002dJ990QAC,exclusive.rkane@gmail.com,RKane,A3IENMCQXCW79U,ATVPDKIKX0DER,R-KANE NUTRITIONALS,R-KANE NUTRITIONALS,United States,B2B,0,1
0011T00002KXqNfQAL,exclusive.seta@gmail.com,SetaCorporationofBoca,AM8MLCU3BDMVQ,ATVPDKIKX0DER,PalmBeachJ,PalmBeachJ,United States,B2B,0,1
0011T00002RVFfcQAH,exclusive.sfoglini@gmail.com,SfogliniPasta,ADX1TAYGA3CTT,ATVPDKIKX0DER,Sfoglini,Sfoglini,United States,NOB2B,0,1
0011T00002RVF5aQAH,exclusive.sharkindustries@gmail.com,SharkIndustries,APU93WLAWEG4R,ATVPDKIKX0DER,"Shark Industries, Ltd.","Shark Industries, Ltd.",United States,B2B,0,1
0015000000b1NZtAAM,exclusive.sharperuniforms@gmail.com,Sharperuniforms,A17HP1RHYWHLBL,ATVPDKIKX0DER,Averill's Sharper Uniforms,Averill's Sharper Uniforms,United States,B2B,0,1
0015000001Z0KTYAA3,exclusive.solacenutrition@gmail.com,SolaceNutrition,AAL5K5OG7EXQP,ATVPDKIKX0DER,Solace Nutrition,Solace Nutrition,United States,B2B,0,1
0011T00002aDO6MQAW,exclusive.sollybaby@gmail.com,SollyBaby,A1O49WIFT5RHPO,ATVPDKIKX0DER,"Solly Baby, LLC","Solly Baby, LLC",United States,B2B,0,1
